name,price,description,characters
Краска фасадная Dulux Trade Гладкая Белая матовая - 10 л,8 250,"Краска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная. Цвет — белый, объем упаковки — 10 л. Обладает превосходной укрывистостью и нейтральным запахом.","['Степень блеска поверхности матовая', 'Область применения стены снаружи помещения', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / минеральные поверхности / оштукатуренная поверхность / камень', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска Symphony Forester 9680 фасадная по дереву база C бесцветная (9л),7 499,Акрилатная шелковисто-матовая эластичная краска Symphony Forester для деревянных фасадов. ,"['Степень блеска поверхности полуматовая', 'Область применения стены снаружи помещения / бревенчатые стены', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности дерево / пиленная / строганная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Фасадная краска Marshall Akrikor силикон-акриловая матовая (База BC) бесцветная 9 л,5 399,"Фасадная краска Marshall Akrikor силикон-акриловая матовая. База BC, бесцветная, объем упаковки - 9 л. После нанесение образует прочное покрытие, устойчивое к атмосферным воздействиям. Обладает превосходной адгезией, сохраняет свои защитные свойства на протяжении 15 лет.","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка автоматическая', 'Тип поверхности минеральные поверхности', 'Срок службы, 15 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Фасадная краска Marshall Akrikor силикон-акриловая матовая (База BW) белая 9 л,4 649,"Фасадная краска Marshall Akrikor силикон-акриловая матовая. База BW, ","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности минеральные поверхности', 'Срок службы, 15 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная Marshall Maestro База BW глубокоматовая - 9 л,4 320,"Краска фасадная Marshall Maestro глубокоматовая. Основа акриловая, база BW. Объем упаковки - 9 л.","['Степень блеска поверхности глубокоматовая', 'Защита от плесени, грибка нет', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности минеральные поверхности', 'Срок службы, 10 лет', '', '', '', '', '', '', '', '', '', '', '']"
Краска резиновая Dali для кровли цоколя фасада серый 12 кг,3 479,"Краска акриловая Dali резиновая для кровли, цоколя, фасада серая. Вес упаковки — 12 кг. Тиксотропная, наносится без подтеков и разводов даже на фигурные поверхности. Не имеет неприятного запаха.","['Степень блеска поверхности глубокоматовая', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП / минеральные поверхности / оштукатуренная поверхность / металл / ГКЛ', 'Колеровка готовый цвет', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная ТЕКС Профи База D матовая - 9 л,3 399,"Краска фасадная ТЕКС Профи. Основа - акриловая. База D, матовый. Объем упаковки - 9 л. ","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка автоматическая', 'Тип поверхности минеральные поверхности', 'Срок службы, до 7 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная ТЕКС Профи Белая матовая - 9 л,3 399,"Краска фасадная ТЕКС Профи. Основа - акриловая. Цвет - белый, матовый. Объем упаковки - 9 л. ","['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности минеральные поверхности', 'Срок службы, до 7 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W11025 25 кг,3 299,"Краска РЕЛЬЕФ ВД-АК-1180 фасадная белоснежная W1106. Вес упаковки — 25 кг. Акриловый состав с хорошей адгезией к различным поверхностям. Простой и удобный в применении, легко наносится, равномерно распределяется без подтеков и брызг. Формирует прочное «дышащее» покрытие, устойчивое к воздействию ультрафиолетовых лучей, попаданию влаги и других атмосферных явлений.","['Степень блеска поверхности матовая', 'Защита от плесени, грибка нет', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП', 'Тип работ внутренние работы / наружные работы', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная Marshall ФАСАД+ глубокоматовая База BC - 9 л,3 280,"Краска Marshall ФАСАД+ для минеральных фасадов и неотапливаемых помещений, глубокоматовая, база BC. Объем упаковки - 9 л.","['Степень блеска поверхности глубокоматовая', 'Область применения для стен', 'Защита от плесени, грибка нет', 'Колеровка автоматическая', 'Тип поверхности кирпич / бетон / минеральные поверхности', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная Marshall ФАСАД+ глубокоматовая База BW - 9 л,3 280,"Краска Marshall ФАСАД+ для минеральных фасадов и неотапливаемых помещений, глубокоматовая, база BW. Объем упаковки ","['Степень блеска поверхности глубокоматовая', 'Область применения для стен', 'Защита от плесени, грибка нет', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности кирпич / бетон / минеральные поверхности', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W11013 1.3 кг,220,Краска РЕЛЬЕФ ВД-АК-1180 фасадная белоснежная W1106. Вес упаковки — 1,"['Степень блеска поверхности матовая', 'Защита от плесени, грибка нет', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП', 'Тип работ внутренние работы / наружные работы', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска Фасадная суперстойкая белоснежный акриловая ,650,"Высококачественная краска на основе водной акриловой дисперсии. За счет хорошей паропроницаемости, позволяет поверхности «дышать». Обладает высокими декоративными свойствами, укрывистостью и прочным сцеплением с окрашиваемой поверхностью. Образует ровное матовое покрытие с высокой износоустойчивостью и стойкостью к атмосферным осадкам. Допускает частую влажную уборку. Не мелит. Произведено по немецким технологиям. Применяется для окраски фасадов зданий, балконов, а также идеально подходит для внутренних работ в помещениях с интенсивной эксплуатационной нагрузкой – офисы, залы ресторанов, учебные и лечебные заведения, промышленные и административные помещения, и высокой влажностью – кухня, ванная, подвальные помещения и т.п. Наносится на бетонные, кирпичные, оштукатуренные и другие минеральные поверхности. Поверхности могут быть бетонные, кирпичные, оштукатуренные и минеральные. ","['Степень блеска поверхности матовая', 'Область применения стены и пол снаружи помещения', 'Защита от плесени, грибка нет', 'Колеровка ручная', 'Тип поверхности кирпич / бетон / минеральные поверхности', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная Marshall ФАСАД+ глубокоматовая База BC - 2.5 л,999,"Краска Marshall ФАСАД+ для минеральных фасадов и неотапливаемых помещений, глубокоматовая, база BC. Объем упаковки - 2.5 л.","['Степень блеска поверхности глубокоматовая', 'Область применения для стен', 'Защита от плесени, грибка нет', 'Колеровка автоматическая', 'Тип поверхности кирпич / бетон / минеральные поверхности', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска для фасадов особопрочная DALI белая матовая - 9 л,4 898,Краска для фасадов Dali особопрочная. Основа акриловая. Цвет ,"['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности минеральные поверхности', 'Срок службы, 10 лет', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска резиновая Dali для кровли цоколя фасада коричневый 12 кг,3 479,"Краска акриловая Dali резиновая для кровли, цоколя, фасада коричневая. Вес упаковки — 12 кг. Тиксотропная, наносится без подтеков и разводов даже на фигурные поверхности. Не имеет неприятного запаха.","['Степень блеска поверхности глубокоматовая', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП / минеральные поверхности / оштукатуренная поверхность / металл / ГКЛ', 'Колеровка готовый цвет', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная Tikkurila Facade Silicon база VVA глубокоматовая - 9 л,9 050,Акриловая краска для фасадов и цоколей Tikkurila Fa,"['Степень блеска поверхности глубокоматовая', 'Область применения стены снаружи помещения', 'Защита от плесени, грибка да', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности кирпич / бетон / минеральные поверхности / оштукатуренная поверхность', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска резиновая Dali для кровли цоколя фасада (База А) белый 12 кг,3 479,"Краска акриловая Dali резиновая для кровли, цоколя, фасада, База А, белая. Вес упаковки — 12 кг. При нанесении образует резиновое, глубоко матовое, шелковистое покрытие, устойчивое к механическим воздействиям и загрязнениям. Обладает высоким сопротивлением к появлению трещин. Превосходный вариант для зданий с естественной усадкой.","['Степень блеска поверхности глубокоматовая', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП / минеральные поверхности / оштукатуренная поверхность / металл / ГКЛ', 'Колеровка ручная / автоматическая / готовый цвет', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Яхтный лак для дерева EUROTEX Бесцветный глянцевый - 2 л,1 496,"Лак яхтный для дерева EUROTEX. Бесцветный, глянцевый. Объем упаковки ","['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', 'Колеровка ручная / автоматическая / готовый цвет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Эмаль полиуретановая универсальная Symphony WINNER 10514 шелковисто-матовая база A белая (0.9л),1 299,,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты бетонных поверхностей / для радиаторов отопления / универсальная / для мебели / окна', 'Степень блеска поверхности шелковисто матовая', 'Вид покрытия оставляет природный рисунок древесины', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Эмаль полиуретановая универсальная Symphony WINNER 10442 шелковисто-матовая база C бесцветная (0.9л),1 119,Полиуретановая универсальная шелковисто-матовая антикоррозионная эмаль Winner база ,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты бетонных поверхностей / для радиаторов отопления / универсальная / для мебели / окна', 'Степень блеска поверхности шелковисто матовая', 'Вид покрытия оставляет природный рисунок древесины', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак яхтный Symphony HARDWOOD полиуретановый шелковисто-матовый (0.9л),1 060,Быстросохнущий влагостойкий полиуретановый шелковисто-матовый лак ,"['Тип работ внутренние работы / наружные работы', 'Область применения для надводного борта / для окон и дверей / для изделий из древесины / для полов / для мебели', 'Степень блеска поверхности шелковисто матовая', 'Вид покрытия оставляет природный рисунок древесины', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак полиуретановый универсальный МУЛЬТИПРОТЕКТ-ПУ (1л),1 030,Предлагаемый нами ,"['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Состав, полиуритановый', 'Готовность к применению готов к применению', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак яхтный Symphony HARDWOOD полиуретановый глянцевый (0.9л),999,Быстросохнущий влагостойкий полиуретановый глянцевый лак ,"['Тип работ внутренние работы / наружные работы', 'Область применения для надводного борта / для окон и дверей / для изделий из древесины / для полов / для мебели', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак на водной основе для мебели и стен PINOTEX LACKER AQUA 70 глянцевый,769,"Создает идеально гладкое покрытие. Придает поверхности отличный декоративный вид, подчеркивая естественную структуру древесины. Лак удобен в использовании, легко разравнивается, не оставляет потеков  и следов от инструмента.  Быстро высыхает на окрашенной поверхности, окрасочные работы можно провести за 1 день.","['Область применения для изделий из древесины / внутрение стены / внутренние стены (межкомнатные перегородки) / стены', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак НЦ-218 Рельеф глянцевый (1.7кг),750,Лак НЦ-218 Рельеф глянцевый (1.7кг),"['Тип работ внутренние работы', 'Область применения для изделий из древесины', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Фасадный лак МультиПротект-Л для камня и кирпича - 1 л,760,Лак фасадный для камня и кирпича МультиПротект-Л. Объем упаковки ,"['Тип работ наружные работы', 'Степень блеска поверхности полуматовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) светостойкий', 'Состав, MS-полимер', '', '', '', '', '', '', '', '', '', '', '']"
Лак НЦ-243 Рельеф матовый (1.7кг),760,Лак НЦ-243 Рельеф матовый (1.7кг),"['Тип работ внутренние работы', 'Область применения для изделий из древесины / для мебели', 'Степень блеска поверхности матовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак на водной основе для мебели и стен PINOTEX LACKER AQUA10 матовый,769,"Создает идеально гладкое покрытие. Придает поверхности отличный декоративный вид, подчеркивая естественную структуру древесины. Лак удобен в использовании, легко разравнивается, не оставляет потеков  и следов от инструмента.  Быстро высыхает на окрашенной поверхности, окрасочные работы можно провести за 1 день.","['Область применения для изделий из древесины / внутрение стены / внутренние стены (межкомнатные перегородки) / стены', 'Степень блеска поверхности матовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Лак по камню ""Рельеф"" РЕЛЬЕФ_pr (2.5кг)",740,"Лак по камню предназначен для декоративной отделки и защиты природного и искусственного камня, кирпича, черепицы (фасады и цоколи зданий, каменные заборы, декоративная отделка каминов), кроме полов и мест с высокой эксплуатационной нагрузкой (тротуарной плитки, камня для мощения дорожек). Лак можно наносить на древесину, изделия из","['Тип работ внутренние работы / наружные работы', 'Область применения облицовка каминов / для изделий из древесины', 'Вид покрытия оставляет природный рисунок древесины', 'Колеровка нет', 'Состав, акриловый / воск', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак перламутровый лессирующий Dali-Decor серебро - 1 кг,730,Лак перламутровый лессирующий Dali-Decor. Цвет - серебро. Вес упаковки ,"['Бренд Dali Decor', 'Страна производителя РОССИЯ', 'Цвет серебро', 'Разбавитель (растворитель) вода', 'Время до нанесения финишного покрытия (ч) 24', '', '', '', '', '', '', '', '', '', '', '', '']"
"Лак паркетный ЭКО полуматовый бесцветный, Eurotex (0.8л)",660,"Паркетный лак Эко полуматовый для защиты древесины (всех видов паркета и других деревянных полов, лестниц, настилов, а также стен, потолков, окон, дверей, мебели и прочих поверхностей) от механических воздействий, а также для декоративной обработки древесины. ","['Тип работ внутренние работы', 'Область применения для паркета / для окон и дверей / для изделий из древесины / для стен / для полов / для мебели / потолки', 'Степень блеска поверхности полуматовая', 'Вид покрытия оставляет природный рисунок древесины', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак для камня и кирпича Dali Мокрый камень - 0.75 л,614,Лак для камня и кирпича Dali ,"['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности полуглянцевая', 'Защита от УФ-излучения (солнца) обычная', 'Колеровка готовый цвет', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Яхтный лак для дерева EUROTEX Бесцветный глянцевый - 0.75 л,614,"Лак яхтный для дерева EUROTEX. Бесцветный, глянцевый. Объем упаковки ","['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', 'Колеровка ручная / автоматическая / готовый цвет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак паркетный EUROTEX Premium Бесцветный полуматовый (0.8л),600,EUROTEX® PREMIUM ПАРКЕТНЫЙ ЛАК,"['Тип работ внутренние работы', 'Степень блеска поверхности полуматовая', 'Вид покрытия оставляет природный рисунок древесины', 'Колеровка ручная / автоматическая / готовый цвет', 'Состав, алкидный', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак защитно-декоративный Dali-Decor FLUID - 0.9 кг,585,"Лак защитно-декоративный Dali-Decor FLUID. Вес упаковки - 0.9 кг. Изготавливается на основе акрилатной дисперсии. В составе также содержатся антисептики, модифицирующие, регулирующие и другие технологические добавки.","['Бренд Dali Decor', 'Страна производителя РОССИЯ', 'Цвет бесцветный', 'Расход 1кг на 10-15 м2', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак паркетный EUROTEX Premium Бесцветный глянцевый (0.8л),580,EUROTEX® PREMIUM ПАРКЕТНЫЙ ЛАК,"['Тип работ внутренние работы', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Колеровка ручная / автоматическая / готовый цвет', 'Состав, алкидный', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Лак термостойкий КО-85 по металлу, бетону, стеклу до +250°С CERTA K8500005 бесцветный (0.7кг)",499,"КО–85 — универсальный жаростойкий бесцветный лак. Термостойкость позволяет свободно наносить на металл или кирпич. Хорошо зарекомендовал себя при нанесении на металлические и кирпичные печи, камины, мангалы. Антикоррозийный. Стойкий к перепадам температур от ?60 до +250","['Тип работ внутренние работы', 'Область применения термостойкие материалы', 'Степень блеска поверхности не определяется', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак защитный для древесины Микстон Экспресс Бесцветный высокоглянцевый,399,,"['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности высоко глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', 'Колеровка готовый цвет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Аквалак для стен и потолков SIBERIAN полуматовый защитный, Husky (0.9л)",360,"Быстросохнущий полуматовый акриловый лак для ­долговечной защиты (до 10 лет) и финишной отделки деревянных стен и потолков внутри помещений. Используется для защиты ранее неокрашенных деревянных поверхностей от воздействия влажности, загрязнения, плесени и грибка. Лак не содержит растворителей и практически не пахнет. Может использоваться для кирпичных и каменных поверхностей. Не предназначен для лаки­рования напольных покрытий и поверхностей, ­находящихся в постоянном контакте с водой.","['Тип работ внутренние работы', 'Область применения стены / потолки', 'Степень блеска поверхности полуматовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак Лакра ХВ-784 бесцветный (0.5л),270,Лак Лакра ХВ-784 бесцветный (0.5л),"['Тип работ внутренние работы / наружные работы', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', 'Колеровка нет', 'Состав, модифицированные синтетические смолы', '', '', '', '', '', '', '', '', '', '', '']"
"Лак по камню ""Рельеф"" РЕЛЬЕФ_pr (0.9кг)",280,"Лак по камню предназначен для декоративной отделки и защиты природного и искусственного камня, кирпича, черепицы (фасады и цоколи зданий, каменные заборы, декоративная отделка каминов), кроме полов и мест с высокой эксплуатационной нагрузкой (тротуарной плитки, камня для мощения дорожек). Лак можно наносить на древесину, изделия из","['Тип работ внутренние работы / наружные работы', 'Область применения облицовка каминов / для изделий из древесины', 'Вид покрытия оставляет природный рисунок древесины', 'Колеровка нет', 'Состав, акриловый / воск', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Аквалак для стен и потолков SIBERIAN полуматовый защитный, Husky (2.5л)",960,"Быстросохнущий полуматовый акриловый лак для ­долговечной защиты (до 10 лет) и финишной отделки деревянных стен и потолков внутри помещений. Используется для защиты ранее неокрашенных деревянных поверхностей от воздействия влажности, загрязнения, плесени и грибка. Лак не содержит растворителей и практически не пахнет. Может использоваться для кирпичных и каменных поверхностей. Не предназначен для лаки­рования напольных покрытий и поверхностей, ­находящихся в постоянном контакте с водой.","['Тип работ внутренние работы', 'Область применения стены / потолки', 'Степень блеска поверхности полуматовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак яхтный Yacht глянцевый бесцветный Belinka (0.9л),1 109,"Перед работой деревянную поверхность слегка отшлифуйте и устраните загрязнения и пыль. Если наблюдаются остатки смолы, сначала устраните её механически, а затем обработайте поверхность нитрорастворителем. В случае необходимости поверхность зашпатлюйте Belinka Шпатлевка для древесины. Всю древесину, которая подвержена воздействию атмосферных явлений, и древесину, находящуюся во влажных помещениях, сначала обработайте антисептиком Belinka Base, который защитит ее от биологических вредителей. Лак для лодок Belinka Yacht сначала хорошо размешайте. Подготовленную смесь наносите кистью или краскопультом в 2-3 слоя (количество слоев зависит от требуемой защиты и получения желаемого внешнего вида поверхности). Второй слой лака наносите через 24 часа после нанесения первого. Для получения лучшего внешнего вида поверхность между нанесением отдельных слоев яхтного лака отшлифуйте. Время высыхания зависит от температуры, влажности и толщины слоя. В нормальных условиях (при температуре + 20° С) покрытие высыхает за 24 часа. Деревянные конструкции, подверженные сильным нагрузкам, покрываются 3 слоями лака. Инструмент очистите уайт-спиритом.","['Тип работ внутренние работы / наружные работы', 'Область применения для изделий из древесины', 'Степень блеска поверхности глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Яхтный лак для дерева EUROTEX Бесцветный полуматовый - 0.75 л,641,"Лак яхтный для дерева EUROTEX. Бесцветный, полуматовый. Объем упаковки ","['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности полуматовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', 'Колеровка ручная / автоматическая / готовый цвет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Лак защитный для древесины Микстон Экспресс Палисандр,399,,"['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности высоко глянцевая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', 'Колеровка готовый цвет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Яхтный лак для дерева EUROTEX Бесцветный полуматовый - 2 л,1 559,"Лак яхтный для дерева EUROTEX. Бесцветный, полуматовый. Объем упаковки ","['Тип работ внутренние работы / наружные работы', 'Степень блеска поверхности полуматовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) усиленная', 'Колеровка ручная / автоматическая / готовый цвет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"Лак интерьерный LACQUER AQUA матовый база ЕР, Tikkurila 700001139 (9л)",6 699,"Lacquer Aqua, матовый - водоразбавляемый колеруемый лак на акрилатной основе для внутренних работ. Предназначен для защиты ранее непокрытых деревянных панелей, вагонки, досок, брёвен, а также бетонных и кирпичных поверхностей в сухих помещениях. Не применяется для полов и мебели. Придает поверхности водо- и грязеотталкивающие свойства, защищает от появления плесени.","['Тип работ внутренние работы', 'Область применения для стен', 'Степень блеска поверхности матовая', 'Вид покрытия оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца) нет', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
